flag,support,baseline_precision,v1_1_precision,baseline_recall,v1_1_recall,recall_change,baseline_f1,v1_1_f1,f1_change
ambiguous_parameter,12,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0
contract_defined_out_of_domain,15,0.7222222222222222,1.0,0.8666666666666667,0.9333333333333333,0.06666666666666665,0.7878787878787877,0.9655172413793104,0.17763845350052265
contract_defined_unsupported_system,6,1.0,1.0,0.16666666666666666,1.0,0.8333333333333334,0.2857142857142857,1.0,0.7142857142857143
missing_parameter,12,1.0,1.0,0.9166666666666666,0.8333333333333334,-0.08333333333333326,0.9565217391304348,0.9090909090909091,-0.04743083003952575
unavailable,15,1.0,1.0,0.9333333333333333,1.0,0.06666666666666665,0.9655172413793104,1.0,0.03448275862068961
version_mismatch,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
